entry,weight,info,ref_dis,pers,form,bin
真正把科研方向转到勘探开发关键工艺技术攻关丘,4,old,10,0,ba,light
尽快把分注和防腐等主要科研成果应用到生产中去,12,old,5,0,ba,heavy
应当立即把职能转变到新技术的引进和推广上,2,new,10,0,ba,light
我们一定要把多种经营切实纳入议事日程抓紧抓好,4,old,1,3,ba,light
总公司把发展多种经营提到战略高度,6,old,1,1,ba,medium
这就要求我们一定要把为主体产业筹集资金、为生产生活服务、解决内部就业和安置问题、提高石油工业总体经济效益作为发展多种经营的基本任务,39,new,10,0,ba,heavy
把努力开拓国际市场，在参与国际竞争中发展和壮大自己，作为石油工业的三六战略之一,23,new,10,0,ba,heavy
把对外开展的各种形式的活动推向一个新的更高的阶段,12,old,10,0,ba,heavy
把＂拳头＂产品打到国外去,4,new,10,0,ba,light
把对外活动搞得卓有成效,4,old,10,0,ba,light
硬是把两家工厂＂联合＂起来,4,old,0.5,0,ba,light
把世界历史设想成一帆风顺向前发展,4,new,10,0,ba,light
别人连班顶多连一个,2,old,10,0,can,light
打甜水井１眼,3,new,10,0,can,light
北京市监狱关押着三十多名反革命犯,8,new,10,1,can,medium
规定各国要协调一致抛出美元干预外汇市场以稳定汇率,2,old,1,1,can,light
现在送饭送水的北京市民已相当稀少乃至绝迹,1,new,10,0,can,light
一位老者告诉记者,2,old,4,0,can,light
指点正在崛起的浦东新区,9,old,2,0,can,medium
那是一片抓一把可以挤出油的丰腴之地啊,1,new,10,0,can,light
党给了我新的生命,1,old,1,2,can,light
乔石迈着稳重的步于向焦裕禄墓走去,4,new,10,0,can,light
撞到路边的铁邮筒上了,6,new,10,0,can,medium
另一位护士推着轮椅在小院里漫步,2,new,10,0.5,can,light
一个身着灰色西服的中年人接过话筒,2,old,1,0,can,light
已在铁窗下当了教师,2,new,10,0,can,light
战士郭生明为了争一块放衣服的地方,2,new,10,0,can,light
他是怀着深深的痛苦说这番话的,3,old,10,0,can,light
要接小王去参加外婆的６０寿辰,2,old,0.5,1,can,light
喊住一辆过路汽车,6,new,10,0,can,medium
她要人拉着架子车专程送她到焦裕禄坟前,3,new,10,0,can,light
他想到了自己的责任,5,new,10,0,can,light
一些小摊小贩乘机抬高食品的价格,5,new,10,0,can,light
做丈夫的接过话茬,2,new,10,0,can,light
小靳丢开自行车,3,new,10,0,can,light
却放下了壶,1,new,10,0,can,light
他竟收到了工厂的回信,5,new,10,0,can,light
他请中国大使转达他对杨主席以及其他中国领导人的问候,4,old,10,1,can,light
指挥向潮济乡调运食品,2,new,10,2,can,light
治疗２０例细菌痢疾患者,9,new,10,0,can,medium
高能＂为此每年投入三、四十万元开展市场调查,5,new,10,0,can,light
